"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:5e5MKPtJuFb8NaeSEyV5gD","Say You Will","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","1","377600","","false","54","USUM70846386","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:3F18I7LhWKxlf1PytSoTBH","Welcome To Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kanye West, Kid Cudi","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","2","262933","","false","58","USUM70846387","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Heartless","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","3","211000","","false","84","USUM70840511","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:0m3Ze0cy8qBHSsV2exAfCw","Amazing","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:4yBK75WVCQXej1p04GWqxH","Kanye West, Jeezy","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","4","238333","","false","62","USUM70846401","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:1kxeWHF9PrCVZHvVskv8lg","Love Lockdown","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","5","270306","","false","63","USUM70837229","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:0w2piYWj1F2bzUftzGJgK9","Paranoid","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1zV9UjTUevjp5VUddqIUUn","Kanye West, Mr Hudson","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","6","277906","","false","61","USUM70846402","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:02LAK7qT1wya0klSeNO96f","RoboCop","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","7","274360","","false","53","USUM70846388","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:6j8gTlbhj9KJSeypNcNAS9","Street Lights","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","8","189906","","false","60","USUM70846403","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:1nNPoG2hygEvrFGlHdhvJ9","Bad News","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","9","238773","","false","52","USUM70846389","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:5zuoz1NBnpoHK6g5sbEH8F","See You In My Nightmares","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:55Aa2cqylxrFIXC767Z865","Kanye West, Lil Wayne","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","10","258120","","false","54","USUM70846390","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:2RRFTLIglxHgAYQzsSLI4Y","Coldest Winter","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","11","164333","","false","56","USUM70846400","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
"spotify:track:6giHsGo1eSYZSXKdNwTC62","Pinocchio Story","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","12","361600","","false","46","USUM70846838","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:51Z"
