"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:3xQTo7wPYHZtFbHAoygz2c","Donda Chant","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","1","52061","","false","40","USUM72116307","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:0TAUAUIEtq06TdQDVlUSxW","Hurricane","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","2","243187","","false","54","USUM72116311","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:0tffNoL4418lhzZmJJFNB7","Moon","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","3","156091","","false","54","USUM72116291","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:2yBb1CRq98SSWRuDSn36SZ","Life Of The Party (with André 3000)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:74V3dE1a51skRkdII8y2C6","Kanye West, André 3000","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","4","391656","","false","59","USUM72116981","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:0YYMXRKWFKESvU7XVK5JlE","Off The Grid","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","5","339249","","false","53","USUM72116304","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:0pZjPa9tKXRF3j4Y9IqhTJ","Jail","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","6","297000","","false","49","USUM72116263","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:32ZGcotUVtU3Zfz9lmM8Mi","Praise God","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","7","226652","","false","55","USUM72116287","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:14VMRC6EbRfeub5SkIXiad","Come to Life","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","8","310393","","false","50","USUM72121561","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:3F2XxZ8aFAHxYhTeTsIiNZ","Believe What I Say","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","9","242400","","false","50","USUM72121651","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
"spotify:track:6ynrKyFuLEVeSk6QiJsYhB","No Child Left Behind","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2Wiyo7LzdeBCsVZiRA6vVZ","Donda (Deluxe)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2021-11-14","https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37","1","10","178061","","false","49","USUM72116303","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:53Z"
