"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:6MXXY2eiWkpDCezVCc0cMH","Good Morning","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","1","195093","","true","71","USUM70749081","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:4UQMOPSUVJVicIQzjAcRRZ","Champion","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","2","167600","","true","73","USUM70749083","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:0j2T0R9dR9qdJYsB7ciXhf","Stronger","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","3","311866","","true","80","USUM70741299","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:7rbECVPkY5UODxoOUVKZnA","I Wonder","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","4","243440","","true","81","USUM70749085","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:4ZPdLEztrlZqbJkgHNw54L","Good Life","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Kanye West, T-Pain","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","5","207000","","true","75","USUM70749087","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:0mEdbdeRFQwBhN4xfyIeUM","Can't Tell Me Nothing","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","6","271600","","true","79","USUM70739239","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:7387VaiHpOsSIZ5nmjseya","Barry Bonds","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:55Aa2cqylxrFIXC767Z865","Kanye West, Lil Wayne","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","7","204306","","true","60","USUM70749091","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:7DRuzSlhjKadgdsQRYZ0tr","Drunk and Hot Girls","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Kanye West, Mos Def","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","8","313226","","true","59","USUM70749097","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:5TRPicyLGbAF2LGBFbHGvO","Flashing Lights","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7u6LfVyYpEzMpHLL7jTyvU","Kanye West, Dwele","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","9","237506","","true","83","USUM70749095","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
"spotify:track:0NrtwAmRAdLxua31SzHvXr","Everything I Am","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:6GEykX11lQqp92UVOQQCC7","Kanye West, DJ Premier","spotify:album:4SZko61aMnmgvNhfhgTuD3","Graduation","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2007-09-11","https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a","1","10","227893","","true","73","USUM70749106","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:46Z"
