"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:0gBPIT136F1kfN5F40d2h2","Diamonds From Sierra Leone - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","1","247600","","true","32","USUM70601935","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:0Xvbqfjc2sivTVj9SHIOIR","Touch The Sky - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:01QTIT5P1pFP3QnnFSdsJf","Kanye West, Lupe Fiasco","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","2","246453","","true","31","USUM70601936","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:1Afi8OBrtXj9iNWK0UiQqt","Crack Music - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0NbfKEOTQCcwd6o7wSDOHI","Kanye West, The Game","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","3","167853","","true","26","USUM70601937","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:0hk24xUpnTjJdXUQQEPQLe","Drive Slow - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0k7Xl1pqI3tu8sSEjo5oEg, spotify:artist:2hZ6jVi1cao5VlJHAEPzU7","Kanye West, Paul Wall, GLC","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","4","273760","","true","27","USUM70601938","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:5FRNP7NPI6DWvAkSJeH2eY","Through The Wire - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","5","212773","","true","31","USUM70601939","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:6BMWL1t7ED3UwULK9CiO7g","Workout Plan - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","6","171666","","true","27","USUM70601940","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:3CVu4NHRrnMzTP6ybDbyrk","Heard 'Em Say - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:4bYPcJP5jwMhSivRcqie2n","Kanye West, Adam Levine","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","7","249533","","true","28","USUM70601941","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:1Mj2wJxQaMq00HfYAkLCz6","All Falls Down - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1lE6SEy8f84Zhjvp7r8yTD","Kanye West, Syleena Johnson","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","8","193040","","true","31","USUM70601942","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:2QUSPP2mVuUt08tW0lUry6","Bring Me Down - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:05oH07COxkXKIMt6mIPRee","Kanye West, Brandy","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","9","200466","","true","25","USUM70601943","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
"spotify:track:5YPQPhF6Y0ZuNCxX6fFxiL","Gone - Live At Abbey Road Studios","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:5KkgZ31b9eDwkvo9oMIrSm, spotify:artist:7iMvwE8qANp3aIfAGKEAwS","Kanye West, Consequence, Cam'ron","spotify:album:0veuYKXCayS7oIfyqlibeR","Late Orchestration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735f2235cb0deb07e74bf6a31d","1","10","254373","","true","25","USUM70601944","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:42Z"
