"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:62KeM7jbmYvzT5FycdiQeS","Wake Up Mr. West","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","1","41066","","true","50","USUM70502664","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:6yIjtVtnOBeC8SwdVHzAuF","Heard 'Em Say","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:4bYPcJP5jwMhSivRcqie2n","Kanye West, Adam Levine","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","2","203733","","true","64","USUM70502535","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:2dxjKgT0li4qBI3QwuN9Ih","Touch The Sky","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:01QTIT5P1pFP3QnnFSdsJf","Kanye West, Lupe Fiasco","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","3","236600","","true","72","USUM70502527","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:1PS1QMdUqOal0ai3Gt7sDQ","Gold Digger","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7LnaAXbDVIL75IVPnndf7w","Kanye West, Jamie Foxx","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","4","207626","","true","80","USUM70500143","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:164al00XRSLWG6h4hc12bD","Skit #1","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","5","33573","","true","47","USUM70502928","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:6vB49BJ70zBpDrrAPwdaB8","Drive Slow","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0k7Xl1pqI3tu8sSEjo5oEg, spotify:artist:2hZ6jVi1cao5VlJHAEPzU7","Kanye West, Paul Wall, GLC","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","6","272226","","true","59","USUM70502532","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:0TzIHqhAbvYR6qJKrMMFlk","My Way Home","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Kanye West, Common","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","7","103373","","true","55","USUM70502533","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:4fRTe59xEeNHT4uyAGsV27","Crack Music","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:0NbfKEOTQCcwd6o7wSDOHI","Kanye West, The Game","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","8","270866","","true","53","USUM70502534","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:2DHNCWZYmVr1Lv08q5b0kB","Roses","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","9","245866","","true","62","USUM70502644","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
"spotify:track:25K9cWrxNv991UYiOzBJqR","Bring Me Down","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:05oH07COxkXKIMt6mIPRee","Kanye West, Brandy","spotify:album:5ll74bqtkcXlKE7wwkMq4g","Late Registration","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2005-08-30","https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2","1","10","198973","","true","52","USUM70502645","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:32:26Z"
