"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:1eQBEelI2NCy7AUTerX0KS","Ultralight Beam","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","1","320680","","true","66","USUM71603065","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:4KW1lqgSr8TKrvBII0Brf8","Father Stretch My Hands Pt. 1","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","2","135920","","true","84","USUM71603067","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:1Wsbr1d2BouNGk2q92mIj7","Pt. 2","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","3","130293","","true","63","USUM71603069","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:19a3JfW8BQwqHWUMbcqSx8","Famous","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","4","196040","","true","71","USUM71603020","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:49fT6owWuknekShh9utsjv","Feedback","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","5","147240","","true","59","USUM71603070","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:36o4taPyOdnOMf01ERmn9a","Low Lights","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","6","131773","","true","53","USUM71603073","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:4qYLPta5HZ36idWiXtqh7B","Highlights","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","7","199866","","true","57","USUM71603074","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:6wfzokDylbrJzrJcpnBkcy","Freestyle 4","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","8","123386","","true","55","USUM71603077","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:5CGS4UovzA7ftCJkLVXQju","I Love Kanye","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","9","44826","","true","60","USUM71603050","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
"spotify:track:3nAq2hCr1oWsIU54tS98pL","Waves","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","10","181573","","true","69","USUM71603079","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:23Z"
