"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:0XDzR8OpZWYH0eE6KYF2iI","SLIDE","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","1","198000","https://p.scdn.co/mp3-preview/c47c6fb9043fdde5e238884d3109f4f561e087fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","TLVEM2470892","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:1R7eMSKgatyWobFUdbXgpL","TIME MOVING SLOW","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","2","159669","https://p.scdn.co/mp3-preview/c5888d4808e29a003f1c7290a5691d0f680cb311?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TLVEM2470893","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:38yTBBKzhv6vPkMONXXtJx","FIELD TRIP","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","3","167213","https://p.scdn.co/mp3-preview/788bf9f6e3c4cf6c715ec5ce1736c0fa172b29be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TLVEM2470894","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:2gB9PuHs1eQc9yd0CRNruO","FRIED","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","4","153600","https://p.scdn.co/mp3-preview/17b277e81e2e81caea158b622a74b0992163a133?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TLVEM2470895","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:1dZMwxr9y1MQvyljOCUxw3","ISABELLA","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","5","8895","https://p.scdn.co/mp3-preview/459ef7123a664e5a2921171b413097239c1a3584?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","TLVEM2470896","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:5NLwnrNnwm3exqGYt61ucF","PROMOTION","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","6","158980","https://p.scdn.co/mp3-preview/c7cd90a75ff7309ff65a76cc929920800da58e86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","TLVEM2470897","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:6Lo67fRKutuSH1FcweSgrD","530","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","7","289488","https://p.scdn.co/mp3-preview/aafd4b850f70a2cd16dbc975d769635826dcbf9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","TLVEM2470898","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:0rewLhVIEuPWzfL95KexaZ","DEAD","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","8","263283","https://p.scdn.co/mp3-preview/7226b3bed322705e76094811810e4c0b1525f0cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","TLVEM2470899","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:76y1mvWGWfCEx4nfgsG3Y2","FOREVER ROLLING","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","9","198333","https://p.scdn.co/mp3-preview/a8d6e7fbfa1e7bf79f204e0761334789d0cb0b77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TLVEM2470900","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
"spotify:track:5uYiYB1LpVFeSrRJXzqXhV","BOMB","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","spotify:album:5JNF1AS6WH5J7yUXmU4Syi","VULTURES 2","spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","¥$, Kanye West, Ty Dolla $ign","2024-08-03","https://i.scdn.co/image/ab67616d0000b27373e3fa08dcb3c35a08cb6ad3","1","10","151657","https://p.scdn.co/mp3-preview/25067c9b492f08e1bd730bc0307d848ad63253ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TLVEM2470901","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:34:03Z"
