"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:1jIfaHx4jUl1mqdig9wUra","No Church In The Wild","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:2h93pZq0e7k5yf4dywlkpM, spotify:artist:1W3FSF1BLpY3hlVIgvenLz","JAY-Z, Kanye West, Frank Ocean, The-Dream","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","1","272508","","true","51","USUM71111617","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:2tS99DuyfPPJLBVeD8iAuV","Lift Off","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:6vWDO969PvNqNYHIOW5v0m","JAY-Z, Kanye West, Beyoncé","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","2","266248","","true","44","USUM71111619","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:0Bh5fftQH3Nnr5sH3I9G5o","Ni**as In Paris","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","3","219322","","true","51","USUM71111621","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:4KyMZxbMbrSPHwMczzgxqQ","Otis","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:60df5JBRRPcnSpsIMxxwQm","JAY-Z, Kanye West, Otis Redding","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","4","178224","","true","48","USUM71111634","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:36mTP2gYrZ13YzytQ5p0QW","Gotta Have It","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","5","140746","","true","47","USUM71111623","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:0q9GhLUyqu6wCgl1d1S7hO","New Day","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","6","272853","","true","44","USUM71111636","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:07CRJ8rXcaaqtboD6QXGur","That's My Bitch","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","7","202565","","true","43","USUM71111691","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:5oXniOwyoZL3XB1C4xuiU1","Welcome To The Jungle","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","8","174127","","true","41","USUM71111674","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:5vqGzocoPjRQLsnL7UBOpE","Who Gon Stop Me","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","9","256696","","true","43","USUM71111640","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
"spotify:track:5y55cugikYzqJeZfVBqDeB","Murder To Excellence","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2if1gb3t6IkhiKzrtS9Glc","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-12","https://i.scdn.co/image/ab67616d0000b27334ded124e44ed4fe8359891f","1","10","300968","","true","43","USUM71111672","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:05Z"
