"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:1gqkRc9WtOpnGIqxf2Hvzr","On Sight","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","1","156480","","true","68","USUM71307527","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:722tgOgdIbNe3BEyLnejw4","Black Skinhead","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","2","188013","","true","71","USUM71307719","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:0HMCdlOPJkAGlB0MlSWIcO","I Am A God","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","3","231506","","true","58","USUM71307720","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:4cAgkb0ifwn0FSHGXnr4F6","New Slaves","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","4","256093","","true","63","USUM71307513","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:5nIu0VwPOsjkF61zfevLKh","Hold My Liquor","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","5","326946","","true","62","USUM71307535","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:52NmkyHsGsHGb1UX8fTkMg","I'm In It","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","6","234853","","true","55","USUM71307517","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:42GcjriRK6srwHkfbkBqVl","Blood On The Leaves","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","7","359800","","true","62","USUM71307498","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:5nPOM0nFRAJ3XI8xCxNAzO","Guilt Trip","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","8","243746","","true","56","USUM71307529","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:3RKblQNJs8HPvWBgXmq6nn","Send It Up","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","9","178040","","true","54","USUM71307511","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
"spotify:track:3sNVsP50132BTNlImLx70i","Bound 2","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","10","229146","","true","81","USUM71307523","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T20:33:14Z"
