"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1TSO0ctzwVy2OPrbCvJDnR","OFTEN, I HAVE THESE DREAMZ (with DJ Drama)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:5oNgAs7j5XcBMzWv3HAnHG","Kid Cudi, DJ Drama","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","1","149080","","true","45","USUM72312190","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:0vb7QySMXepNXxyhBhEJRA","KEEP BOUNCIN’","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","2","176146","","true","44","USUM72312192","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:2Adxpr1j5lSihOCsmIfflJ","GET OFF ME (with Travis Scott)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Kid Cudi, Travis Scott","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","3","215240","","true","62","USUM72312195","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:5670KAPQHSRuZ0AEVA0zlR","MOST AIN’T DENNIS","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","4","157040","","true","42","USUM72312196","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:2RWlRSi9TthgUka2yrLnrD","WOW (with A$AP Rocky)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","Kid Cudi, A$AP Rocky","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","5","274200","","true","56","USUM72312199","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:7iwBRiipMHOz0sApVqZBRF","ELECTROWAVEBABY","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","6","205173","","true","52","USUM72312200","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:3DYpdmTRaVSEAitwkMHSwA","A TALE OF A KNIGHT","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","7","177080","","true","43","USUM72312202","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:5csTIHoUYgE6jHVrsRrV7a","CUD LIFE","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","8","213306","","true","43","USUM72312204","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:5DZHW9R4WldaenHCUtM8KC","TOO DAMN HIGH (with Lil Yachty)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:6icQOAFXDZKsumw3YXyusw","Kid Cudi, Lil Yachty","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","9","138320","","true","46","USUM72312206","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:5LKdHz3R60AuKc8Wy6na2j","GETCHA GONE","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","10","115826","","true","43","USUM72312208","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
"spotify:track:0kUQWMs1bRlwFNKA4Dce3f","AT THE PARTY (feat. Pharrell Williams & Travis Scott)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Kid Cudi, Pharrell Williams, Travis Scott","spotify:album:0tpIUAzCeUkoV4u2r5NrQr","INSANO","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-01-12","https://i.scdn.co/image/ab67616d0000b273820f2a56e4a57cc9a94672a8","1","11","238026","","true","54","USUM72312211","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:28Z"
