"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7loW5pv1vsMvC1jDL1H11a","Destination: Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","1","110280","","false","17","USUM71401801","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:1xcMk2oQRsT2PjOCYxjiJm","Going To The Ceremony","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","2","228320","","false","25","USUM71401802","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:2r6X5PYIYK55Sl4FGzSWgd","SATELLITE FLIGHT","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","3","274933","","true","26","USUM71401803","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:2KIfxzPfN59oDehEB9mGja","Copernicus Landing","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","4","274426","","false","18","USUM71401804","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:4ye8dQDob59j8hbwIfXKYa","Balmain Jeans","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:6g0Wah2YFtb1rFgKhUktlo","Kid Cudi, Raphael Saadiq","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","5","327320","","false","31","USUM71401807","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:0qfuBPT5nKEEkXhatOfsyY","Too Bad I Have To Destroy You Now","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","6","377893","","true","36","USUM71401810","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:4A17hSxPL8ZHWzbeupLHpm","Internal Bleeding","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","7","256053","","false","23","USUM71401811","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:2wziZ8TDuqxGJit1aY57aK","In My Dreams 2015","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","8","106213","","false","14","USUM71401813","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:4bkenznTorANHANZjcaZN3","Return Of The Moon Man - Original Score","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","9","315693","","false","15","USUM71401814","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
"spotify:track:4N92WrFY4DDMgUoGnP8eG6","Troubled Boy","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4u9kEyafQ7sW0Z1gpJrDxp","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e2d1b3c2dbdfe07013fb91bb","1","10","202653","","false","20","USUM71401815","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:56Z"
