"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Is Playable","Added By","Added At"
"spotify:track:3VPnMpm9RVFVvBNSQH0yMD","No One Believes Me","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:3EshFxIHY7JVkjPN0vwCOQ","No One Believes Me","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2011-01-01","https://i.scdn.co/image/ab67616d0000b2734369306624ef53e72552ab11","1","1","302360","","true","34","USUM71113222","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:06Z"
"spotify:track:5PX4uS1LqlWEPL69phPVQQ","Pursuit Of Happiness - Extended Steve Aoki Remix","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:57dN52uHvrHOxijzpIgu3E, spotify:artist:77AiFEVeAVj2ORpC85QVJs","Kid Cudi, MGMT, Ratatat, Steve Aoki","spotify:album:38MFjDPIDJFfLF7IVpe1rv","Pursuit Of Happiness [Extended Steve Aoki Remix (Explicit)]","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2012-01-01","https://i.scdn.co/image/ab67616d0000b273fe7908b7666690bf4e83ce14","1","1","373626","","true","72","USUM70917762","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:31Z"
"spotify:track:3f2k8op0nWDoZM4pXim6wG","Surfin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Kid Cudi, Pharrell Williams","spotify:album:0791s63y6DMl5cqFQSaHJL","Surfin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-09-30","https://i.scdn.co/image/ab67616d0000b273b05e8ed730e20c456d800084","1","1","238386","","true","45","USUM71609486","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:37Z"
"spotify:track:3hR48Bj9Wgl6xunDG4nsRZ","Leader Of The Delinquents","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:4MiEmYcutgLqNjKvBpuAZT","Leader Of The Delinquents","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-04-14","https://i.scdn.co/image/ab67616d0000b273adbc10fb0a1dead2cc76856d","1","1","189544","","true","41","USUM72008009","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:45Z"
"spotify:track:39Yp9wwQiSRIDOvrVg7mbk","THE SCOTTS","spotify:artist:2PaZWGu5T5nHjY2xxAkFsT, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","THE SCOTTS, Travis Scott, Kid Cudi","spotify:album:7q6zjWaLw8bN5nYiBWjrus","THE SCOTTS","spotify:artist:2PaZWGu5T5nHjY2xxAkFsT, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","THE SCOTTS, Travis Scott, Kid Cudi","2020-04-24","https://i.scdn.co/image/ab67616d0000b27311d6f8c713ef93a9bb64ddfe","1","1","165977","https://p.scdn.co/mp3-preview/820f8579b290d5454ca9f32fde6e06358d8a3950?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USSM12002217","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:45Z"
"spotify:track:38iBrrbbXyWaSPkmuDNgjZ","The Adventures of Moon Man & Slim Shady (with Eminem)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Kid Cudi, Eminem","spotify:album:4Cr6vlJh83a5Eby9DZRPwD","The Adventures of Moon Man & Slim Shady (with Eminem)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Kid Cudi, Eminem","2020-07-10","https://i.scdn.co/image/ab67616d0000b27355dfd42001dbc79e5552c82c","1","1","264833","","true","55","USUM72013649","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:48Z"
"spotify:track:3QPBocWfIcOCdFFvmqn60F","Just Look Up (From Don’t Look Up)","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Ariana Grande, Kid Cudi","spotify:album:1geA7d12ed5LXsBns7ONB4","Just Look Up (From Don’t Look Up)","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Ariana Grande, Kid Cudi","2021-12-03","https://i.scdn.co/image/ab67616d0000b2739675cabe34ef4cc14556ea35","1","1","201667","","true","53","USUM72121498","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:14:51Z"
"spotify:track:62tDpymKVSXEu0W3d4AMr9","Do What I Want","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:3vV1pBCY7hLtLo3jF11JfO","Do What I Want","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-06-10","https://i.scdn.co/image/ab67616d0000b273257d334ea218f7a4f74b47d7","1","1","171826","","true","45","USUM72210530","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:15:02Z"
"spotify:track:0WFOl7P9gowO92fuI0eJIZ","Stars In The Sky - From Sonic The Hedgehog 2","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:77nZgGhFXUDxjZobYTej2e","Stars In The Sky (From Sonic The Hedgehog 2)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-03-25","https://i.scdn.co/image/ab67616d0000b273cdbb5fea4421e625705c16cd","1","1","185668","","false","56","USUM72204100","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:15:03Z"
"spotify:track:6PzDwzYlw2gH6pYFQqNnFA","Want It Bad (with Nigo)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2rAnv6brcXaglLZBB4XXEn","Kid Cudi, Nigo","spotify:album:3MuAhnruoa9XOopdaIL3JT","Want It Bad","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2rAnv6brcXaglLZBB4XXEn","Kid Cudi, Nigo","2022-02-18","https://i.scdn.co/image/ab67616d0000b2735cbdbac66584718e94a55c5a","1","1","200486","","false","41","USUM72202078","true","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-22T21:15:03Z"
