"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:28fbq4huUKyLKSUls5IIeM","Edge Of The Earth/Post Mortem Boredom","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","1","283120","","true","33","USUM71517305","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:6fqmq4QmtyGhYYx2erQtXG","CONFUSED!","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","2","236120","","true","41","USUM71516297","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:6pyOi9gmnaXyFaML1oGzIJ","Man In The Night","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","3","230120","","true","30","USUM71517306","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:5jn9KgKRB6DMsu7WResK8X","Screwed","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","4","147746","","true","29","USUM71517307","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:1dwWPW5EOhuWumvhZrC01p","Fade 2 Red","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","5","177506","","true","26","USUM71517317","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:6Uvhar1a33axZJKViUyQD2","Adventures","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","6","370466","","true","31","USUM71517318","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:0cVlM3nY0v4mdRJl6v4Hld","The Nothing","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","7","210840","","true","25","USUM71517319","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:2hs7gAm33z5XvfQBb0zIF3","AMEN","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","8","184306","","true","24","USUM71517321","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:0S0hUUY2kypaaN4hqanA7D","Handle With Care","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","9","225026","","true","34","USUM71517320","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
"spotify:track:3tzMl05JCzmXG4VGLbOruw","Judgmental C**t","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6e8pwYKSF9iZjpPep1DVzx","Speedin' Bullet 2 Heaven","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2015-12-04","https://i.scdn.co/image/ab67616d0000b273a4ea8c76f78b72ce3bda7625","1","10","185186","","true","27","USUM71516298","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:19Z"
