"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:28HSw8N667pDlBYhuN0CbB","Day 'N' Nite (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","1","221240","","false","30","USUM70957500","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:0VvdvvxAo2Z8mdradrUSBq","Pursuit Of Happiness (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:57dN52uHvrHOxijzpIgu3E","Kid Cudi, MGMT, Ratatat","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","2","295293","","true","33","USUM70981907","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:7dNdesJXrlHAHLaZhY1TBf","GHOST!","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","3","289066","","false","33","USUM71025508","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:1Qie4j0lIGN28PzGKeajCO","Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","4","294226","","false","36","USUM71025042","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:6KtgUT2J1MSI4BAUZ5ELTS","The Dream Time Machine","spotify:artist:415rtLOb1FDKZAxo1IJ1hW","WZRD","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","5","287306","","false","29","USUM71200935","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:1AbvVbAkMlq8wUY4Hry48A","Upper Room","spotify:artist:415rtLOb1FDKZAxo1IJ1hW","WZRD","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","6","192240","","false","28","USUM71200940","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:4qXg9vd7ghwxghsH4ygU4o","Just What I Am","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:5NjUjtjtkzZqRuWFdspT1K","Kid Cudi, King Chip","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","7","228026","","true","33","USUM71210095","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:2Ls61ELfcA4Qa0IeV49z28","Unfuckwittable","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","8","275746","","true","29","USUM71303217","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:61FRf2PcTHgXH1CBJwb3H1","Balmain Jeans","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:6g0Wah2YFtb1rFgKhUktlo","Kid Cudi, Raphael Saadiq","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","9","327320","","false","27","USUM71401807","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
"spotify:track:3wNp7rJSonDh2aRzKvCamk","Too Bad I Have To Destroy You Now","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:19ZYOtXGdqGpeeDS9SJccD","The Boy Who Flew To The Moon (Vol. 1)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-08","https://i.scdn.co/image/ab67616d0000b273ef3b5a279ee075749b67e0a7","1","10","377880","","true","29","USUM71401810","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:11Z"
