"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0giG4DEJ7VAoXoPZhLcIlj","Intro","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","1","59265","","true","24","USUM72213182","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:2H3y6FYYmmu7wSHy9fqC8f","Down & Out","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","2","248566","","true","41","USUM72213183","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:6lUJpJ7OZycuD0ahNnvpHq","Is There Any Love","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:67nwj3Y5sZQLl72VNUHEYE","Kid Cudi, Wale","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","3","210599","","true","32","USUM70982481","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:7HIfvHy8bP4VyIN7dlxQUy","CuDi Get","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","4","140100","","true","32","USUM72213184","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:1gVwV3341LU621MFSO6T6b","Man On The Moon (The Anthem)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","5","207253","","true","37","USUM72213185","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:1SkzK37qLSi7Sp6PwYTC0A","The Prayer","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","6","219093","","true","58","USUM72213186","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:2P9HugRjZqZ2v3Sm9JBnIO","Day ‘n’ Nite","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","7","168000","","true","45","USUM72213187","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:0ZRYBBiutc28k4GLEIa6sD","Embrace The Martian","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:3o1cwVQfiDWafhYA02k13C","Kid Cudi, Crookers","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","8","215080","","true","43","USUG12205388","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:0Hnm7mnmqOLCIgvbMpM4Ev","Maui Wowie","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","9","143466","","true","43","USUM72213188","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
"spotify:track:2wu1moIPAY90D4hOsyyHBX","Whenever","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:2blXZboio9DF8VC39LmUag","A Kid Named Cudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2022-07-15","https://i.scdn.co/image/ab67616d0000b273cd4666c02c9749c71dabb8ea","1","10","123560","","true","33","USUM72213189","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:15Z"
