"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5KLAUdja5B2pSp6msNihlD","HUMAN MADE","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","1","228013","","true","45","USUM72402301","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:0dE6bo63eqDDfIr8XZhZpN","DIAMONDS LIGHTS FAST CARS (feat. Wiz Khalifa)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:137W8MRPWKqSmrBGDBFSop","Kid Cudi, Wiz Khalifa","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","2","161626","","true","44","USUM72402322","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:5zJc7HaHSABElZcL4WT3By","WIN OR LOSE (feat. Chip Tha Ripper)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0PA28tQBY65NmvLi0xvuX9","Kid Cudi, Chip Tha Ripper","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","3","167266","","true","45","USUM72402330","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:1QF0gucRbjYxmwBy9ZP48m","CHUNKY","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","4","175133","","true","42","USUM72315176","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:2Gyge9sAcLi9EfYKWYQGWH","BABE AND I","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","5","148853","","true","40","USUM72402335","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:171GowvfxC6r1WCHyb6fn3","WILLIS (feat. Chip Tha Ripper)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0PA28tQBY65NmvLi0xvuX9","Kid Cudi, Chip Tha Ripper","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","6","244240","","true","36","USUM72402353","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:0uMsWm3xNlXkQ7q78Q0QKq","CRASH TEST CUDI","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","7","165573","","true","38","USUM72402348","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:2nT0qgUbjnDVmKmnNP3vSp","EVERYBODY LIKE (feat. Pusha T)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Kid Cudi, Pusha T","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","8","192346","","true","40","USUM72402356","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:7qIbKygZWmVZ2ZJpgYHO19","ELECTROWAVEBABY 2.0","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:77AiFEVeAVj2ORpC85QVJs","Kid Cudi, Steve Aoki","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","9","217626","","true","38","USUM72402360","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:24CuCoSd1I0wY1S92DuLnK","ANIMATE (feat. Chip Tha Ripper)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0PA28tQBY65NmvLi0xvuX9","Kid Cudi, Chip Tha Ripper","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","10","174946","","true","39","USUM72402364","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:79PO8wHcaDyxM0w1sKFQuY","ROUND N ROUND (feat. Lil Yachty)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:6icQOAFXDZKsumw3YXyusw","Kid Cudi, Lil Yachty","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","11","226760","","true","41","USUM72402381","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:30qfYM53MuNCME5QqUFpxp","DOSE OF DOPENESS (2007)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","12","214440","","true","39","USUM72402367","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:05nX0HbRXAldu0xmwVcMTa","ROCKET (2011)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","13","148946","","true","35","USUM72402372","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:2YVkpynbH4lrZQZSJiaICM","ILL WHAT I BLEED","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","14","172986","","false","40","USUM72315960","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:33rvwaExs7zO6dbwpuf6lk","ALL MY LIFE","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","15","243346","","false","37","USUM72314468","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:2ObpOPtEzEHAGknf8phs9q","I JUST WANNA GET (feat. Layzie Bone, Krayzie Bone, Steve Aoki)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:6wAO5FJZZ5PJoRBSpBic7M, spotify:artist:53B8dEQzmtefvkdCAkO0YR, spotify:artist:77AiFEVeAVj2ORpC85QVJs","Kid Cudi, Layzie Bone, Krayzie Bone, Steve Aoki","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","16","180733","","true","41","USUM72402387","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:7M1ngPJwK29DqFxbQUtWVa","MOON MAN SHIT","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","17","188120","","true","38","USUM72402390","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
"spotify:track:4YtYrEB1utkTC75rvlsH97","SUPERBOY","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6ofMZXVeY7dABB00zHp8WV","INSANO (NITRO MEGA)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2024-02-23","https://i.scdn.co/image/ab67616d0000b2732262b6b2b43a32ffa0705190","1","18","307693","","true","47","USUM72312298","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:37:34Z"
