"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5qf1Fn46TzMNQ8vpyJSU4P","The Resurrection Of Scott Mescudi","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","1","160800","","true","30","USUM71303214","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:0jUie9UEhrUFWo683TC3KW","Unfuckwittable","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","2","275746","","true","45","USUM71303217","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:20bJBbPapGQ4bqs0YcA9xY","Just What I Am","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:5NjUjtjtkzZqRuWFdspT1K","Kid Cudi, King Chip","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","3","228026","","true","64","USUM71210095","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:0vLAUpYj7YuO9BpQd6Bg25","Young Lady","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2kGBy2WHvF0VdZyqiVCkDT","Kid Cudi, Father John Misty","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","4","264546","","true","41","USUM71303239","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:4bFOo0IbTRXQBXNWEpGxXX","King Wizard","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","5","256239","","true","47","USUM71212592","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:4fHRUyNTNVD0HRe4YPYA4m","Immortal","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","6","301840","","true","47","USUM71303596","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:6IPZkjmCvqDY3RVCkRxr9r","Solo Dolo Part II","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kid Cudi, Kendrick Lamar","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","7","214440","","true","43","USUM71303241","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:7akq5eDflgN6sRCeeGk12g","Girls","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:4sb7rZNN93BSS6Gqgepo4v","Kid Cudi, Too $hort","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","8","267920","","true","42","USUM71303289","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:606H9aM86W0fGgvlswFpOI","New York City Rage Fest","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","9","113040","","true","35","USUM71303291","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
"spotify:track:2O5WOf1i30K1GtvAwpU0C9","Red Eye","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:4Ui2kfOqGujY81UcPrb5KE","Kid Cudi, HAIM","spotify:album:262o5a05pMUDSV2uzo5EwQ","Indicud","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2013-04-12","https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629","1","10","234666","","true","41","USUM71303294","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:37Z"
