"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5QemHQxj7PRkrw8lJl2W7C","Scott Mescudi Vs. The World","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8","Kid Cudi, CeeLo Green","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","1","235293","","true","51","USUM71025496","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:0Epl79nHvdyTdZRAiWpJah","REVOFEV","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","2","183173","","false","50","USUM71022468","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:09ZeNJ09kGQDdlvdPJ2Vfd","Don’t Play This Song","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:1XkoF8ryArs86LZvFOkbyr","Kid Cudi, Mary J. Blige","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","3","222893","","true","46","USUM71025497","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:5SgMhs9A3PSkJd0ruJwUsI","We Aite (Wake Your Mind Up)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","4","86613","","false","39","USUM71025498","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:2GtaNlidzvK3hY78kCdsHa","Marijuana","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","5","260200","","true","57","USUM71025499","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:6hPSal3ragmfUt1I5mKZjn","Mojo So Dope","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","6","210586","","true","58","USUM71025500","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:6GSMozgAebBmuM2hCV15H3","Ashin’ Kusher","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","7","228493","","true","46","USUM71025501","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:6XkuklKiHYVTlVvWlTgQYP","Erase Me - Main","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kid Cudi, Kanye West","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","8","192253","","true","67","USUM71020517","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:0HEfiw4FFDxMTfCIf6k3J5","Wild’n Cuz I’m Young","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","9","254000","","true","41","USUM71025502","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
"spotify:track:4yCuBvbBvoJ9eVE7QB2Rkg","The Mood","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:08eM9GRdr5BCCHNqS3Wwud","Man On The Moon II: The Legend Of Mr. Rager","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2010-11-09","https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815","1","10","155693","","true","42","USUM71025503","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:35:20Z"
