"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4IIuCotvqijraSdnVLaFnM","Beautiful Trip","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","1","37013","","false","41","USUM72023835","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:30KctD1WsHKTIYczXjip5a","Tequila Shots","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","2","193293","","true","64","USUM72023838","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:6myUpr3GDR80Dg3zqNTmmG","Another Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","3","199786","","true","51","USUM72023836","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:1xzUQMiCoY5pdego0pHMeV","She Knows This","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","4","216560","","true","49","USUM72023837","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:7Hc3YL8oDiAzbiAW32KXrw","Dive","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","5","148706","","true","48","USUM72023844","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:2n7Ao4nyESBa5ti8gcAbBt","Damaged","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","6","150853","","true","44","USUM72023840","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:2koUj1Fn5TKFEkChSmBPIb","Heaven On Earth","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","7","201093","","true","47","USUM72023839","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:5CFJRZRq6sdKKtRwNPWbYv","Show Out (with Skepta & Pop Smoke)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2p1fiYHYiXz9qi0JJyxBzN, spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Kid Cudi, Skepta, Pop Smoke","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","8","174960","","true","62","USUM72023842","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:27oVCAziETRbNuo5A8LNpg","Solo Dolo, Pt. III","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","9","242266","","true","52","USUM72023841","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
"spotify:track:4nuAslShoN77tq12fzwjUq","Sad People","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","10","176026","","true","55","USUM72023843","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:54Z"
