"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1hRv3AxmkmVrSQf0Ak9v7p","In My Dreams (Cudder Anthem)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","1","199000","","true","35","USUM70981688","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:0Ns3nvzgfC6Yh3j5apV66n","Soundtrack 2 My Life","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","2","235626","","true","54","USUM70981690","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:5TC8MQflxpxmChgiaIlj63","Simple As...","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","3","151333","","true","37","USUM70981701","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:3FKmqPkNa8f1UIZuw3SSfV","Solo Dolo (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","4","266306","","true","38","USUM70981703","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:5o8WGxOQbBFEJmu7WlRodP","Heart Of A Lion (Kid Cudi Theme Music)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","5","261359","","true","39","USUM70981709","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:4yiyhWYSGscX8h75Q58ibZ","My World","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:4049kCiuzJ1c04oYqNYm99","Kid Cudi, Billy Craven","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","6","243026","","true","34","USUM70981720","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:60PAzFNW3vAiAiVK6DRJfB","Day 'N' Nite (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","7","221240","","false","70","USUM70957500","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:4bBEPE5GmdBIFusBEPlRpQ","Sky Might Fall","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","8","220906","","true","40","USUM70981723","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:0WSWYAYnr0aR9a0fvIeyYc","Enter Galactic (Love Connection Part I)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","9","260200","","true","41","USUM70981726","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
"spotify:track:6tg2Nnovkz4ytqnOFAYf4X","Alive (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:57dN52uHvrHOxijzpIgu3E","Kid Cudi, Ratatat","spotify:album:6oPPKtAwNNlkW4wwHfQDfM","Man On The Moon: The End Of Day (Int'l Version)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b273713f297a7bdc1d48971062b2","1","10","246760","","true","45","USUM70981728","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:57Z"
