"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0i6TnC4SCYFjWO9IazonEG","In My Dreams (Cudder Anthem)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","1","199000","","true","31","USUM70981688","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:6iovySmAVi5FSbQgzTfoAG","Soundtrack 2 My Life","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","2","235626","","true","40","USUM70981690","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:04nE0pNbhPQMgbfSNIV7Ir","Simple As...","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","3","151333","","true","32","USUM70981701","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:6LC8CjwoPcyt2u3000cCT1","Solo Dolo (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","4","266306","","true","40","USUM70981703","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:7xYQy0cBGq08k9fEBIpnpX","Heart Of A Lion (Kid Cudi Theme Music)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","5","261359","","true","34","USUM70981709","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:2YleE26OXd15Zaix8I5aQs","My World","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:4049kCiuzJ1c04oYqNYm99","Kid Cudi, Billy Craven","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","6","243026","","true","34","USUM70981720","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:0lpstj9UL93vkYycP07ehZ","Day 'N' Nite (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","7","221240","","false","21","USUM70957500","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:2Pq2jkcG80UOshPWyAV9gG","Sky Might Fall","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","8","220906","","true","34","USUM70981723","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:1VTNMlCvjOeqJRci5FomoK","Enter Galactic (Love Connection Part I)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","9","260200","","true","44","USUM70981726","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:46Tcsp23JR5fj2zApNB5cy","Alive (Nightmare)","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:57dN52uHvrHOxijzpIgu3E","Kid Cudi, Ratatat","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","10","246760","","true","34","USUM70981728","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
"spotify:track:7BtX4o8uMrwkmSoehSgjId","Cudi Zone","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:1OnCqi7IuzjnrOh2ZNvJHd","Man On The Moon: The End Of Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2009-01-01","https://i.scdn.co/image/ab67616d0000b27379f39680d0a747ccd91520ec","1","11","259040","","true","35","USUM70981730","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:34:49Z"
