"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0O6jl8Zamz6TGF0nUwMQsF","Frequency","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","1","298240","","true","45","USUM71613266","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:5cjsgbZ8tZYD4f0LNpApnf","Swim In The Light","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","2","269226","","true","42","USUM71614685","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:5Tm9At0xeFb0MtlV8uI3eY","Releaser","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","3","327973","","false","36","USUM71614686","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:5FxVTEpoBress37MmlMhbZ","By Design","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:5lTANVMk0mGnsErXBAutfM","Kid Cudi, André Benjamin","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","4","257053","","true","55","USUM71614687","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:4HMhDkyOObFngSAz2xeQhK","All In","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","5","250586","","false","37","USUM71614690","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:36ltVroxdokt4IVqNh4EEO","ILLusions","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","6","256226","","true","40","USUM71614691","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:40jxatV29fk82SAziDsPqN","Rose Golden","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:3rWZHrfrsPBxVy692yAIxF","Kid Cudi, WILLOW","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","7","277813","","true","54","USUM71614693","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:6WSBZroxQaO3FYEpT2ACFH","Baptized In Fire","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Kid Cudi, Travis Scott","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","8","285520","","true","54","USUM71614695","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:0gnYo3z19PzAVikI7doinv","Flight At First Sight/Advanced","spotify:artist:0fA0VVWsXO9YnASrzqfmYu, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Kid Cudi, Pharrell Williams","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","9","236760","","true","38","USUM71614697","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:1Bta6k7sXqUJfebYppG7Mq","Does It","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","10","262546","","true","36","USUM71614699","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:4VOUXdkDN3USHfEtBjCUPS","Dance 4 Eternity","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","11","283426","","false","39","USUM71614701","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:0dBXCFV75G0mdi5fo7eO9v","Distant Fantasies","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","12","287600","","true","34","USUM71614702","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:5ND2pMuoFVtT0Ocug5A4KT","Wounds","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","13","243560","","false","34","USUM71614704","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:6fXMuxRTO9vdrsAcbO3X5x","Mature Nature","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","14","235080","","false","36","USUM71614711","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:0Jcij1eWd5bDMU5iPbxe2i","Kitchen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","15","268746","","false","51","USUM71614712","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
"spotify:track:3uEBYVUzx2aft489ui6Nmi","Cosmic Warrior","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:5bCk3kWAy2JbbTfHqzZCII","Passion, Pain & Demon Slayin'","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2016-12-16","https://i.scdn.co/image/ab67616d0000b2735c8d9ad991d2a23eb039d8dd","1","16","240973","","false","36","USUM71614713","spotify:user:31fyn5l6sxssf4n4f2ne357hbt7e","2024-08-21T04:36:25Z"
